,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
1005,San Antonio Spurs,Sacramento Kings,0.5187933890127949,Sacramento Kings,San Antonio Spurs,V,0,1
1006,Dallas Mavericks,Golden State Warriors,0.5858851113508516,Dallas Mavericks,Golden State Warriors,H,1,0
1007,Los Angeles Clippers,Los Angeles Lakers,0.5209578579574217,Los Angeles Clippers,Los Angeles Lakers,H,1,0
1008,Atlanta Hawks,Washington Wizards,0.6595320188445708,Atlanta Hawks,Washington Wizards,V,1,0
1009,Philadelphia 76ers,Cleveland Cavaliers,0.8421979376984435,Philadelphia 76ers,Cleveland Cavaliers,H,1,0
1010,Indiana Pacers,Detroit Pistons,0.6129322308020442,Detroit Pistons,Indiana Pacers,H,0,1
1011,Toronto Raptors,Orlando Magic,0.6692591687221457,Orlando Magic,Toronto Raptors,V,0,1
1012,Milwaukee Bucks,Chicago Bulls,0.7849074059825869,Milwaukee Bucks,Chicago Bulls,V,1,0
1013,Oklahoma City Thunder,Minnesota Timberwolves,0.5525898437830215,Minnesota Timberwolves,Oklahoma City Thunder,V,0,1
1014,Utah Jazz,New Orleans Pelicans,0.827388048846221,New Orleans Pelicans,Utah Jazz,H,0,1
1015,Denver Nuggets,Houston Rockets,0.8647399503418988,Denver Nuggets,Houston Rockets,H,1,0
1016,Phoenix Suns,New York Knicks,0.577269003674977,Phoenix Suns,New York Knicks,H,1,0
1017,Dallas Mavericks,Sacramento Kings,0.7201059451349162,Dallas Mavericks,Sacramento Kings,H,1,0
1018,San Antonio Spurs,Charlotte Hornets,0.5116550885624034,Charlotte Hornets,San Antonio Spurs,H,0,1
1019,Portland Trail Blazers,Minnesota Timberwolves,0.7663455066543962,Minnesota Timberwolves,Portland Trail Blazers,H,0,1
1020,Philadelphia 76ers,Miami Heat,0.666908847275061,Miami Heat,Philadelphia 76ers,H,0,1
1021,Memphis Grizzlies,Orlando Magic,0.7856089065527567,Memphis Grizzlies,Orlando Magic,H,1,0
1022,Los Angeles Lakers,Golden State Warriors,0.5858472627730951,Los Angeles Lakers,Golden State Warriors,H,1,0
1023,Brooklyn Nets,Boston Celtics,0.6520932337419838,Boston Celtics,Brooklyn Nets,H,0,1
1024,Phoenix Suns,Milwaukee Bucks,0.6197985825847246,Milwaukee Bucks,Phoenix Suns,H,0,1
1025,Washington Wizards,Indiana Pacers,0.6031579757861191,Washington Wizards,Indiana Pacers,H,1,0
1026,Utah Jazz,Oklahoma City Thunder,0.90725863641863,Utah Jazz,Oklahoma City Thunder,V,1,0
1027,Memphis Grizzlies,Houston Rockets,0.8165854494947615,Houston Rockets,Memphis Grizzlies,H,0,1
1028,Toronto Raptors,Cleveland Cavaliers,0.6027115409718439,Cleveland Cavaliers,Toronto Raptors,H,0,1
1029,Denver Nuggets,New Orleans Pelicans,0.6601205784196609,Denver Nuggets,New Orleans Pelicans,H,1,0
1030,Los Angeles Clippers,New York Knicks,0.5546325869391544,New York Knicks,Los Angeles Clippers,V,0,1
1031,Philadelphia 76ers,Chicago Bulls,0.7374020427135742,Philadelphia 76ers,Chicago Bulls,H,1,0
1032,Atlanta Hawks,Detroit Pistons,0.8233927388677661,Detroit Pistons,Atlanta Hawks,H,0,1
1033,Miami Heat,Houston Rockets,0.8291870111213187,Miami Heat,Houston Rockets,H,1,0
1034,Portland Trail Blazers,Minnesota Timberwolves,0.7663455066543962,Minnesota Timberwolves,Portland Trail Blazers,H,0,1
1035,Los Angeles Lakers,San Antonio Spurs,0.7244965899118407,San Antonio Spurs,Los Angeles Lakers,H,0,1
1036,Utah Jazz,Dallas Mavericks,0.6963486030499473,Dallas Mavericks,Utah Jazz,H,0,1
1037,Denver Nuggets,Golden State Warriors,0.6021962930089726,Denver Nuggets,Golden State Warriors,H,1,0
1038,New York Knicks,Sacramento Kings,0.6726082281839983,New York Knicks,Sacramento Kings,V,1,0
1039,Phoenix Suns,Orlando Magic,0.9058967908008296,Phoenix Suns,Orlando Magic,V,1,0
1040,Indiana Pacers,Cleveland Cavaliers,0.6752479552834671,Cleveland Cavaliers,Indiana Pacers,V,0,1
1041,Brooklyn Nets,Charlotte Hornets,0.7837622602278067,Brooklyn Nets,Charlotte Hornets,V,1,0
1042,Memphis Grizzlies,New Orleans Pelicans,0.5828583749393923,Memphis Grizzlies,New Orleans Pelicans,H,1,0
1043,Milwaukee Bucks,Oklahoma City Thunder,0.8811024719162927,Milwaukee Bucks,Oklahoma City Thunder,V,1,0
1044,Los Angeles Clippers,Golden State Warriors,0.6761815176853497,Golden State Warriors,Los Angeles Clippers,H,0,1
1045,Chicago Bulls,Detroit Pistons,0.6347454711954061,Chicago Bulls,Detroit Pistons,V,1,0
1046,Boston Celtics,Charlotte Hornets,0.6570997246273748,Boston Celtics,Charlotte Hornets,V,1,0
1047,Phoenix Suns,Miami Heat,0.720626567869094,Phoenix Suns,Miami Heat,V,1,0
1048,New Orleans Pelicans,Orlando Magic,0.6948872349909625,Orlando Magic,New Orleans Pelicans,V,0,1
1049,Minnesota Timberwolves,Oklahoma City Thunder,0.6349351649175129,Minnesota Timberwolves,Oklahoma City Thunder,H,1,0
1050,Milwaukee Bucks,Atlanta Hawks,0.531394104173744,Milwaukee Bucks,Atlanta Hawks,H,1,0
1051,Los Angeles Lakers,Houston Rockets,0.8517752629239402,Houston Rockets,Los Angeles Lakers,H,0,1
1052,San Antonio Spurs,Toronto Raptors,0.5258158856647136,Toronto Raptors,San Antonio Spurs,V,0,1
1053,Dallas Mavericks,New York Knicks,0.5096055372563995,New York Knicks,Dallas Mavericks,V,0,1
1054,Utah Jazz,Portland Trail Blazers,0.5878150157486625,Utah Jazz,Portland Trail Blazers,H,1,0
1055,Denver Nuggets,Sacramento Kings,0.7388400818985823,Denver Nuggets,Sacramento Kings,V,1,0
1056,Los Angeles Clippers,Washington Wizards,0.7056156564829748,Los Angeles Clippers,Washington Wizards,H,1,0
1057,Brooklyn Nets,Philadelphia 76ers,0.5473219405354467,Brooklyn Nets,Philadelphia 76ers,V,1,0
1058,Denver Nuggets,Golden State Warriors,0.6021962930089726,Golden State Warriors,Denver Nuggets,V,0,1
1059,Orlando Magic,Minnesota Timberwolves,0.5342246378500399,Orlando Magic,Minnesota Timberwolves,H,1,0
1060,Boston Celtics,Detroit Pistons,0.8229711008260723,Boston Celtics,Detroit Pistons,H,1,0
1061,Los Angeles Clippers,Atlanta Hawks,0.5876945349018969,Atlanta Hawks,Los Angeles Clippers,H,0,1
1062,New Orleans Pelicans,Charlotte Hornets,0.5411705092655901,Charlotte Hornets,New Orleans Pelicans,V,0,1
1063,Miami Heat,Cleveland Cavaliers,0.7851447053413866,Miami Heat,Cleveland Cavaliers,H,1,0
1064,New York Knicks,Memphis Grizzlies,0.5555798092898306,Memphis Grizzlies,New York Knicks,H,0,1
1065,Dallas Mavericks,Houston Rockets,0.8776560962735278,Dallas Mavericks,Houston Rockets,V,1,0
1066,Utah Jazz,San Antonio Spurs,0.8455018563291915,San Antonio Spurs,Utah Jazz,H,0,1
1067,Phoenix Suns,Toronto Raptors,0.7766550932720633,Toronto Raptors,Phoenix Suns,V,0,1
1068,Los Angeles Lakers,Washington Wizards,0.6666448641041713,Los Angeles Lakers,Washington Wizards,H,1,0
1069,San Antonio Spurs,Indiana Pacers,0.521148456711139,Indiana Pacers,San Antonio Spurs,V,0,1
1070,Miami Heat,Minnesota Timberwolves,0.8106247080097327,Minnesota Timberwolves,Miami Heat,V,0,1
1071,Chicago Bulls,Cleveland Cavaliers,0.6816541093441699,Chicago Bulls,Cleveland Cavaliers,H,1,0
1072,Milwaukee Bucks,Golden State Warriors,0.7281246322827877,Golden State Warriors,Milwaukee Bucks,H,0,1
1073,Utah Jazz,Sacramento Kings,0.7636137144702717,Utah Jazz,Sacramento Kings,H,1,0
1074,Denver Nuggets,Toronto Raptors,0.739000124651586,Toronto Raptors,Denver Nuggets,V,0,1
1075,Portland Trail Blazers,Washington Wizards,0.6442972991517789,Portland Trail Blazers,Washington Wizards,H,1,0
1076,Brooklyn Nets,New York Knicks,0.5563496022246375,Brooklyn Nets,New York Knicks,H,1,0
1077,Los Angeles Clippers,Detroit Pistons,0.8478060359280616,Los Angeles Clippers,Detroit Pistons,V,1,0
1078,Dallas Mavericks,Boston Celtics,0.6425065648099745,Dallas Mavericks,Boston Celtics,V,1,0
1079,Philadelphia 76ers,Orlando Magic,0.8819678656996469,Philadelphia 76ers,Orlando Magic,V,1,0
1080,Memphis Grizzlies,Oklahoma City Thunder,0.7845753323149898,Memphis Grizzlies,Oklahoma City Thunder,V,1,0
1081,New Orleans Pelicans,Houston Rockets,0.7408377619652292,New Orleans Pelicans,Houston Rockets,H,1,0
1082,Atlanta Hawks,Indiana Pacers,0.7116474328747826,Atlanta Hawks,Indiana Pacers,H,1,0
1083,Phoenix Suns,Los Angeles Lakers,0.5438983355529015,Phoenix Suns,Los Angeles Lakers,H,1,0
1084,Los Angeles Clippers,Cleveland Cavaliers,0.8446614182117349,Cleveland Cavaliers,Los Angeles Clippers,H,0,1
1085,Denver Nuggets,Philadelphia 76ers,0.5275856092987607,Denver Nuggets,Philadelphia 76ers,V,1,0
1086,Atlanta Hawks,Portland Trail Blazers,0.5190679042519155,Atlanta Hawks,Portland Trail Blazers,H,1,0
1087,Charlotte Hornets,Oklahoma City Thunder,0.6337479237378842,Charlotte Hornets,Oklahoma City Thunder,V,1,0
1088,San Antonio Spurs,Minnesota Timberwolves,0.6882616774428378,Minnesota Timberwolves,San Antonio Spurs,V,0,1
1089,Milwaukee Bucks,Utah Jazz,0.5804598547404556,Milwaukee Bucks,Utah Jazz,V,1,0
1090,Sacramento Kings,Chicago Bulls,0.5257310249702142,Sacramento Kings,Chicago Bulls,H,1,0
1091,Golden State Warriors,Washington Wizards,0.5647212465817424,Golden State Warriors,Washington Wizards,H,1,0
1092,Los Angeles Lakers,Toronto Raptors,0.7257126106305332,Toronto Raptors,Los Angeles Lakers,V,0,1
1093,Brooklyn Nets,Orlando Magic,0.868251637771514,Brooklyn Nets,Orlando Magic,V,1,0
1094,Memphis Grizzlies,Indiana Pacers,0.6487347735726099,Memphis Grizzlies,Indiana Pacers,V,1,0
1095,Miami Heat,Detroit Pistons,0.8314914896632076,Miami Heat,Detroit Pistons,H,1,0
1096,Phoenix Suns,New Orleans Pelicans,0.8141372876698826,Phoenix Suns,New Orleans Pelicans,V,1,0
1097,Denver Nuggets,Washington Wizards,0.6936624487296917,Denver Nuggets,Washington Wizards,V,1,0
1098,Philadelphia 76ers,Cleveland Cavaliers,0.8672014782579626,Philadelphia 76ers,Cleveland Cavaliers,V,1,0
1099,Atlanta Hawks,Charlotte Hornets,0.7412043223412852,Charlotte Hornets,Atlanta Hawks,H,0,1
1100,Portland Trail Blazers,New York Knicks,0.5051353894247718,New York Knicks,Portland Trail Blazers,H,0,1
1101,Dallas Mavericks,Brooklyn Nets,0.5327011211441296,Dallas Mavericks,Brooklyn Nets,V,1,0
1102,Los Angeles Lakers,Minnesota Timberwolves,0.8041160069998947,Minnesota Timberwolves,Los Angeles Lakers,H,0,1
1103,Phoenix Suns,Houston Rockets,0.916165872462938,Phoenix Suns,Houston Rockets,V,1,0
1104,San Antonio Spurs,Oklahoma City Thunder,0.730820967547118,San Antonio Spurs,Oklahoma City Thunder,H,1,0
1105,Utah Jazz,Chicago Bulls,0.7482037436569415,Utah Jazz,Chicago Bulls,H,1,0
1106,Milwaukee Bucks,Sacramento Kings,0.7876305002651048,Milwaukee Bucks,Sacramento Kings,V,1,0
1107,Boston Celtics,Golden State Warriors,0.5390318979096701,Boston Celtics,Golden State Warriors,V,1,0
1108,Los Angeles Clippers,Toronto Raptors,0.7602613854459344,Toronto Raptors,Los Angeles Clippers,V,0,1
1109,Orlando Magic,Detroit Pistons,0.5693680523428608,Detroit Pistons,Orlando Magic,V,0,1
1110,Dallas Mavericks,Philadelphia 76ers,0.5368985511378827,Philadelphia 76ers,Dallas Mavericks,H,0,1
1111,Los Angeles Lakers,Toronto Raptors,0.7216354296758914,Los Angeles Lakers,Toronto Raptors,V,1,0
1112,New York Knicks,Washington Wizards,0.6330515116782077,New York Knicks,Washington Wizards,H,1,0
1113,Denver Nuggets,Cleveland Cavaliers,0.8417658434542759,Cleveland Cavaliers,Denver Nuggets,H,0,1
1114,Brooklyn Nets,Portland Trail Blazers,0.5781700136892278,Brooklyn Nets,Portland Trail Blazers,H,1,0
1115,Atlanta Hawks,Memphis Grizzlies,0.5267463809959239,Atlanta Hawks,Memphis Grizzlies,H,1,0
1116,Miami Heat,Oklahoma City Thunder,0.8403535885995432,Miami Heat,Oklahoma City Thunder,H,1,0
1117,Indiana Pacers,Houston Rockets,0.6675382161842999,Indiana Pacers,Houston Rockets,V,1,0
1118,New Orleans Pelicans,San Antonio Spurs,0.5679743034879727,New Orleans Pelicans,San Antonio Spurs,V,1,0
1119,Los Angeles Clippers,Utah Jazz,0.51894377382198,Utah Jazz,Los Angeles Clippers,H,0,1
1120,Boston Celtics,Sacramento Kings,0.6182244749875456,Boston Celtics,Sacramento Kings,V,1,0
1121,Phoenix Suns,Chicago Bulls,0.7566855132936435,Phoenix Suns,Chicago Bulls,H,1,0
1122,Milwaukee Bucks,Minnesota Timberwolves,0.8661561177686978,Minnesota Timberwolves,Milwaukee Bucks,H,0,1
1123,Dallas Mavericks,Charlotte Hornets,0.7765605753093626,Charlotte Hornets,Dallas Mavericks,H,0,1
1124,Los Angeles Lakers,Washington Wizards,0.6531423215819966,Washington Wizards,Los Angeles Lakers,H,0,1
1125,Cleveland Cavaliers,Detroit Pistons,0.6020547057429679,Cleveland Cavaliers,Detroit Pistons,H,1,0
1126,Portland Trail Blazers,Indiana Pacers,0.6557161456987003,Indiana Pacers,Portland Trail Blazers,H,0,1
1127,Memphis Grizzlies,Houston Rockets,0.8165854494947615,Memphis Grizzlies,Houston Rockets,V,1,0
1128,Phoenix Suns,Sacramento Kings,0.8173201002521026,Phoenix Suns,Sacramento Kings,V,1,0
1129,Orlando Magic,Oklahoma City Thunder,0.5851375146213984,Orlando Magic,Oklahoma City Thunder,H,1,0
1130,Atlanta Hawks,New Orleans Pelicans,0.6330127019964116,New Orleans Pelicans,Atlanta Hawks,V,0,1
1131,Utah Jazz,New York Knicks,0.7266803737832056,Utah Jazz,New York Knicks,V,1,0
1132,Denver Nuggets,Boston Celtics,0.5851759378594545,Boston Celtics,Denver Nuggets,V,0,1
1133,Philadelphia 76ers,Toronto Raptors,0.7584490585886242,Toronto Raptors,Philadelphia 76ers,V,0,1
1134,Golden State Warriors,San Antonio Spurs,0.6100021915530642,San Antonio Spurs,Golden State Warriors,V,0,1
1135,Portland Trail Blazers,Detroit Pistons,0.7835956773680886,Portland Trail Blazers,Detroit Pistons,V,1,0
1136,Los Angeles Lakers,Cleveland Cavaliers,0.8156288544480559,Los Angeles Lakers,Cleveland Cavaliers,V,1,0
1137,New Orleans Pelicans,Charlotte Hornets,0.5819108569284024,Charlotte Hornets,New Orleans Pelicans,H,0,1
1138,Philadelphia 76ers,Miami Heat,0.6082629667141738,Philadelphia 76ers,Miami Heat,H,1,0
1139,Utah Jazz,Brooklyn Nets,0.6552137678790694,Brooklyn Nets,Utah Jazz,H,0,1
1140,Boston Celtics,Oklahoma City Thunder,0.7639086382850911,Boston Celtics,Oklahoma City Thunder,V,1,0
1141,Washington Wizards,Houston Rockets,0.7227791418130541,Houston Rockets,Washington Wizards,H,0,1
1142,Chicago Bulls,Toronto Raptors,0.5574712547956887,Chicago Bulls,Toronto Raptors,H,1,0
1143,Dallas Mavericks,Minnesota Timberwolves,0.840477229724173,Dallas Mavericks,Minnesota Timberwolves,H,1,0
1144,Golden State Warriors,Orlando Magic,0.7645321982497048,Orlando Magic,Golden State Warriors,H,0,1
1145,Atlanta Hawks,New York Knicks,0.5679034883622058,Atlanta Hawks,New York Knicks,V,1,0
1146,Milwaukee Bucks,Chicago Bulls,0.7526166943762993,Milwaukee Bucks,Chicago Bulls,H,1,0
1147,Los Angeles Clippers,Denver Nuggets,0.5586720726197145,Denver Nuggets,Los Angeles Clippers,H,0,1
1148,Indiana Pacers,Sacramento Kings,0.5432400208678129,Sacramento Kings,Indiana Pacers,V,0,1
1149,Atlanta Hawks,Detroit Pistons,0.8233927388677661,Detroit Pistons,Atlanta Hawks,H,0,1
1150,New York Knicks,Charlotte Hornets,0.7085563301821273,New York Knicks,Charlotte Hornets,V,1,0
1151,Miami Heat,Golden State Warriors,0.5347617196097632,Golden State Warriors,Miami Heat,V,0,1
1152,Brooklyn Nets,Memphis Grizzlies,0.650806521373933,Memphis Grizzlies,Brooklyn Nets,H,0,1
1153,Utah Jazz,Boston Celtics,0.7497548980266963,Boston Celtics,Utah Jazz,H,0,1
1154,Oklahoma City Thunder,Orlando Magic,0.5273932827475261,Oklahoma City Thunder,Orlando Magic,H,1,0
1155,Phoenix Suns,Minnesota Timberwolves,0.8864503661584655,Phoenix Suns,Minnesota Timberwolves,V,1,0
1156,Dallas Mavericks,Houston Rockets,0.8566309477421452,Dallas Mavericks,Houston Rockets,H,1,0
1157,Portland Trail Blazers,San Antonio Spurs,0.6859043911511886,San Antonio Spurs,Portland Trail Blazers,V,0,1
1158,Philadelphia 76ers,Los Angeles Lakers,0.6193250687800079,Philadelphia 76ers,Los Angeles Lakers,V,1,0
1159,Toronto Raptors,Cleveland Cavaliers,0.6565872328493906,Toronto Raptors,Cleveland Cavaliers,H,1,0
1160,New Orleans Pelicans,Chicago Bulls,0.5310075993941126,New Orleans Pelicans,Chicago Bulls,H,1,0
1161,Milwaukee Bucks,Washington Wizards,0.719982472116977,Milwaukee Bucks,Washington Wizards,H,1,0
1162,Memphis Grizzlies,Indiana Pacers,0.6665792598897847,Memphis Grizzlies,Indiana Pacers,H,1,0
1163,Phoenix Suns,Denver Nuggets,0.6619997396144706,Phoenix Suns,Denver Nuggets,V,1,0
1164,Washington Wizards,Detroit Pistons,0.6727990197704026,Washington Wizards,Detroit Pistons,V,1,0
1165,Utah Jazz,Charlotte Hornets,0.8528058906042242,Charlotte Hornets,Utah Jazz,H,0,1
1166,Atlanta Hawks,Golden State Warriors,0.5734537351853835,Atlanta Hawks,Golden State Warriors,H,1,0
1167,Dallas Mavericks,Minnesota Timberwolves,0.8367232421097023,Minnesota Timberwolves,Dallas Mavericks,H,0,1
1168,New York Knicks,Miami Heat,0.5422196851106571,New York Knicks,Miami Heat,V,1,0
1169,Portland Trail Blazers,Houston Rockets,0.844019556593852,Houston Rockets,Portland Trail Blazers,V,0,1
1170,Philadelphia 76ers,Los Angeles Clippers,0.5757984660803371,Philadelphia 76ers,Los Angeles Clippers,V,1,0
1171,New Orleans Pelicans,San Antonio Spurs,0.5356700962529859,San Antonio Spurs,New Orleans Pelicans,V,0,1
1172,Sacramento Kings,Orlando Magic,0.6409944704496464,Sacramento Kings,Orlando Magic,V,1,0
1173,Toronto Raptors,Indiana Pacers,0.5247130884153883,Toronto Raptors,Indiana Pacers,H,1,0
1174,Brooklyn Nets,Miami Heat,0.6384461413379852,Brooklyn Nets,Miami Heat,V,1,0
1175,Milwaukee Bucks,Memphis Grizzlies,0.6929479626349844,Memphis Grizzlies,Milwaukee Bucks,H,0,1
1176,Chicago Bulls,Cleveland Cavaliers,0.6291243894377541,Chicago Bulls,Cleveland Cavaliers,V,1,0
1177,Denver Nuggets,Oklahoma City Thunder,0.8739356789416282,Denver Nuggets,Oklahoma City Thunder,H,1,0
1178,Portland Trail Blazers,Houston Rockets,0.844019556593852,Houston Rockets,Portland Trail Blazers,V,0,1
1179,New York Knicks,Detroit Pistons,0.7982915010937375,New York Knicks,Detroit Pistons,V,1,0
1180,Golden State Warriors,Washington Wizards,0.5470606379315774,Washington Wizards,Golden State Warriors,H,0,1
1181,Philadelphia 76ers,Phoenix Suns,0.5531442598649198,Phoenix Suns,Philadelphia 76ers,H,0,1
1182,Boston Celtics,Minnesota Timberwolves,0.8013013538361781,Boston Celtics,Minnesota Timberwolves,H,1,0
1183,Los Angeles Lakers,New Orleans Pelicans,0.6972753122076152,New Orleans Pelicans,Los Angeles Lakers,H,0,1
1184,Utah Jazz,Dallas Mavericks,0.6963486030499473,Dallas Mavericks,Utah Jazz,H,0,1
1185,Brooklyn Nets,Charlotte Hornets,0.7484281544325742,Charlotte Hornets,Brooklyn Nets,V,0,1
1186,Atlanta Hawks,Indiana Pacers,0.7103370880849201,Atlanta Hawks,Indiana Pacers,V,1,0
1187,Cleveland Cavaliers,Orlando Magic,0.542501219339472,Cleveland Cavaliers,Orlando Magic,H,1,0
1188,Denver Nuggets,Charlotte Hornets,0.7700025995677847,Denver Nuggets,Charlotte Hornets,V,1,0
1189,Boston Celtics,Toronto Raptors,0.6408547665089793,Toronto Raptors,Boston Celtics,H,0,1
1190,New York Knicks,Chicago Bulls,0.6711901217410714,New York Knicks,Chicago Bulls,H,1,0
1191,Miami Heat,Sacramento Kings,0.676400448112815,Miami Heat,Sacramento Kings,H,1,0
1192,Memphis Grizzlies,Golden State Warriors,0.5213149774546728,Memphis Grizzlies,Golden State Warriors,H,1,0
1193,San Antonio Spurs,Houston Rockets,0.6838049319014868,San Antonio Spurs,Houston Rockets,V,1,0
1194,Portland Trail Blazers,Oklahoma City Thunder,0.854386764187528,Oklahoma City Thunder,Portland Trail Blazers,V,0,1
1195,Washington Wizards,Chicago Bulls,0.5807044310338972,Chicago Bulls,Washington Wizards,V,0,1
1196,Milwaukee Bucks,Philadelphia 76ers,0.5941642853539509,Milwaukee Bucks,Philadelphia 76ers,V,1,0
1197,Los Angeles Lakers,Dallas Mavericks,0.5242556568699723,Dallas Mavericks,Los Angeles Lakers,H,0,1
1198,Brooklyn Nets,Detroit Pistons,0.8799415377808183,Brooklyn Nets,Detroit Pistons,H,1,0
1199,Utah Jazz,Los Angeles Clippers,0.6567829730954315,Los Angeles Clippers,Utah Jazz,H,0,1
1200,Washington Wizards,Orlando Magic,0.7358568088332147,Washington Wizards,Orlando Magic,H,1,0
1201,Denver Nuggets,Indiana Pacers,0.7413716907048342,Denver Nuggets,Indiana Pacers,V,1,0
1202,Dallas Mavericks,Cleveland Cavaliers,0.8466850341641993,Dallas Mavericks,Cleveland Cavaliers,V,1,0
1203,Toronto Raptors,Minnesota Timberwolves,0.6913191364969957,Toronto Raptors,Minnesota Timberwolves,H,1,0
1204,New York Knicks,Charlotte Hornets,0.6801451008496423,Charlotte Hornets,New York Knicks,V,0,1
1205,Boston Celtics,Miami Heat,0.500404874805096,Miami Heat,Boston Celtics,V,0,1
1206,Atlanta Hawks,Oklahoma City Thunder,0.8286473097115628,Atlanta Hawks,Oklahoma City Thunder,V,1,0
1207,Sacramento Kings,Houston Rockets,0.6696288899400432,Sacramento Kings,Houston Rockets,V,1,0
1208,Memphis Grizzlies,San Antonio Spurs,0.6707693160206225,Memphis Grizzlies,San Antonio Spurs,V,1,0
1209,Portland Trail Blazers,New Orleans Pelicans,0.6217651200233096,New Orleans Pelicans,Portland Trail Blazers,V,0,1
1210,Phoenix Suns,Golden State Warriors,0.7636367614392261,Phoenix Suns,Golden State Warriors,V,1,0
1211,Philadelphia 76ers,Detroit Pistons,0.8699600518094223,Detroit Pistons,Philadelphia 76ers,H,0,1
1212,Milwaukee Bucks,Brooklyn Nets,0.5900896199710782,Milwaukee Bucks,Brooklyn Nets,V,1,0
1213,Atlanta Hawks,Cleveland Cavaliers,0.8103964336408129,Atlanta Hawks,Cleveland Cavaliers,H,1,0
1214,Los Angeles Clippers,Chicago Bulls,0.7399381496152789,Chicago Bulls,Los Angeles Clippers,H,0,1
1215,Utah Jazz,Los Angeles Lakers,0.5325809550365264,Utah Jazz,Los Angeles Lakers,H,1,0
1216,Dallas Mavericks,Washington Wizards,0.7015534578643389,Washington Wizards,Dallas Mavericks,H,0,1
1217,Toronto Raptors,Orlando Magic,0.6344920146981473,Toronto Raptors,Orlando Magic,V,1,0
1218,Boston Celtics,Indiana Pacers,0.6653186259444519,Boston Celtics,Indiana Pacers,H,1,0
1219,Oklahoma City Thunder,Detroit Pistons,0.5874177402080987,Detroit Pistons,Oklahoma City Thunder,V,0,1
1220,Los Angeles Clippers,Milwaukee Bucks,0.5130593725864926,Los Angeles Clippers,Milwaukee Bucks,V,1,0
1221,Phoenix Suns,Memphis Grizzlies,0.7313596142221809,Memphis Grizzlies,Phoenix Suns,H,0,1
1222,Sacramento Kings,Houston Rockets,0.6696288899400432,Sacramento Kings,Houston Rockets,V,1,0
1223,Portland Trail Blazers,San Antonio Spurs,0.6775304394947572,San Antonio Spurs,Portland Trail Blazers,H,0,1
1224,Denver Nuggets,Minnesota Timberwolves,0.8493392013308587,Minnesota Timberwolves,Denver Nuggets,V,0,1
1225,Los Angeles Lakers,New Orleans Pelicans,0.6447477606541376,New Orleans Pelicans,Los Angeles Lakers,V,0,1
1226,Philadelphia 76ers,Charlotte Hornets,0.7452382265076313,Philadelphia 76ers,Charlotte Hornets,H,1,0
1227,New York Knicks,Cleveland Cavaliers,0.7950660153698978,Cleveland Cavaliers,New York Knicks,V,0,1
1228,Brooklyn Nets,Atlanta Hawks,0.6015533072169728,Atlanta Hawks,Brooklyn Nets,H,0,1
1229,Miami Heat,Chicago Bulls,0.6161581884353647,Miami Heat,Chicago Bulls,V,1,0
1230,Utah Jazz,Golden State Warriors,0.7795128130699629,Golden State Warriors,Utah Jazz,H,0,1
1231,Dallas Mavericks,Milwaukee Bucks,0.5169322748254689,Dallas Mavericks,Milwaukee Bucks,V,1,0
1232,Boston Celtics,Washington Wizards,0.60488694629103,Boston Celtics,Washington Wizards,H,1,0
1233,Denver Nuggets,Los Angeles Lakers,0.5699561346060767,Denver Nuggets,Los Angeles Lakers,V,1,0
1234,Indiana Pacers,Detroit Pistons,0.7373711487880916,Detroit Pistons,Indiana Pacers,V,0,1
1235,New York Knicks,Orlando Magic,0.8155137508917046,New York Knicks,Orlando Magic,V,1,0
1236,Philadelphia 76ers,Cleveland Cavaliers,0.8672014782579626,Philadelphia 76ers,Cleveland Cavaliers,V,1,0
1237,Miami Heat,Toronto Raptors,0.6425696361346073,Miami Heat,Toronto Raptors,V,1,0
1238,Portland Trail Blazers,San Antonio Spurs,0.6775304394947572,San Antonio Spurs,Portland Trail Blazers,H,0,1
1239,Phoenix Suns,Oklahoma City Thunder,0.8993936924416722,Oklahoma City Thunder,Phoenix Suns,H,0,1
1240,Houston Rockets,Minnesota Timberwolves,0.5025722105213312,Minnesota Timberwolves,Houston Rockets,V,0,1
1241,Golden State Warriors,Sacramento Kings,0.6014360155209577,Golden State Warriors,Sacramento Kings,V,1,0
1242,Los Angeles Clippers,New Orleans Pelicans,0.6850691129169351,Los Angeles Clippers,New Orleans Pelicans,H,1,0
1243,Cleveland Cavaliers,Orlando Magic,0.5052643637504447,Orlando Magic,Cleveland Cavaliers,H,0,1
1244,Philadelphia 76ers,Indiana Pacers,0.778702731096825,Philadelphia 76ers,Indiana Pacers,V,1,0
1245,Atlanta Hawks,Toronto Raptors,0.727290197488308,Toronto Raptors,Atlanta Hawks,H,0,1
1246,Miami Heat,Charlotte Hornets,0.666990490765762,Miami Heat,Charlotte Hornets,H,1,0
1247,Brooklyn Nets,Houston Rockets,0.8782025928450439,Brooklyn Nets,Houston Rockets,H,1,0
1248,Portland Trail Blazers,Oklahoma City Thunder,0.7897319494966597,Oklahoma City Thunder,Portland Trail Blazers,H,0,1
1249,Washington Wizards,Minnesota Timberwolves,0.6506544202215672,Washington Wizards,Minnesota Timberwolves,V,1,0
1250,Milwaukee Bucks,Chicago Bulls,0.7849074059825869,Milwaukee Bucks,Chicago Bulls,V,1,0
1251,Utah Jazz,Memphis Grizzlies,0.5952517558334058,Utah Jazz,Memphis Grizzlies,H,1,0
